q00,q17b
2,3
3,2
4,3
5,3
6,3
7,2
8,3
9,3
10,2
11,1
12,3
13,1
14,2
15,1
16,2
17,1
18,
19,3
20,3
21,1
22,
23,2
24,2
25,1
26,2
27,3
28,1
29,
30,3
31,1
32,2
33,1
34,3
35,2
36,
37,3
38,3
39,1
40,2
41,1
42,
43,
44,1
45,
46,3
47,
48,1
49,1
50,4
51,3
52,2
53,1
54,7
55,1
56,3
57,3
58,3
59,4
60,
61,1
62,6
63,1
64,2
65,3
66,2
67,2
68,3
69,
70,2
71,4
72,1
73,3
74,3
75,
76,3
77,3
78,2
79,3
80,
81,6
82,1
83,
84,6
85,3
86,4
87,1
88,1
89,4
90,
91,1
92,
93,2
94,1
95,1
96,2
97,4
98,2
99,2
100,3
101,4
102,3
103,2
104,
105,
106,3
107,3
108,6
109,2
110,1
111,1
112,2
113,
114,1
115,3
116,3
117,1
118,1
119,
120,1
121,1
122,3
123,2
124,2
125,4
126,
127,3
128,2
129,
130,2
131,4
132,1
133,1
134,2
135,
136,7
137,4
138,1
139,1
140,2
141,1
142,1
143,2
144,3
145,3
146,
147,4
148,3
149,1
150,3
151,3
152,
153,
154,2
156,
157,
158,4
159,2
160,2
161,3
162,3
163,2
164,2
165,3
166,2
167,3
168,3
169,2
170,3
171,1
172,1
173,1
174,1
175,
176,2
177,2
178,1
179,1
180,2
181,
182,2
183,3
184,2
185,1
186,1
187,1
188,2
189,4
190,2
191,3
192,6
193,3
194,
195,2
196,1
197,2
198,
199,
200,2
201,1
202,6
203,3
204,2
205,2
206,4
207,1
208,
209,
210,7
211,2
212,1
213,
214,3
215,
216,1
217,3
218,2
219,6
220,2
221,2
222,2
223,3
224,2
225,1
226,
227,1
228,1
229,6
230,3
231,1
232,1
233,1
234,2
235,
236,
237,
238,
239,2
240,2
241,6
242,2
243,2
244,3
245,2
246,
247,6
248,
249,2
250,1
251,1
252,3
253,6
254,
255,2
256,1
257,2
258,1
259,1
260,1
261,1
262,
263,
264,2
265,
266,2
267,2
268,
269,3
270,2
271,2
272,2
273,2
274,3
275,1
276,1
277,2
278,2
279,1
280,4
281,4
282,2
283,2
284,7
285,
286,2
287,2
288,6
289,
290,3
291,3
292,2
293,
294,7
295,3
296,1
297,3
298,
299,3
300,
301,4
302,2
303,
304,3
305,2
306,
307,2
308,1
309,1
310,1
311,1
312,1
313,
314,2
315,1
316,2
317,1
318,3
319,2
320,3
321,
322,2
323,1
324,2
325,1
326,2
327,1
328,3
329,2
330,6
331,1
332,2
333,2
334,3
335,1
336,2
337,2
338,7
339,4
340,7
341,3
342,1
343,1
344,
345,2
346,
347,
348,1
349,3
350,3
351,3
352,
353,1
354,2
355,2
356,2
357,
358,4
359,3
360,3
361,3
362,3
363,3
364,3
365,1
366,3
367,1
368,2
369,6
370,1
371,2
372,2
373,1
374,1
375,4
376,
377,3
378,3
379,2
380,6
381,3
382,3
383,4
384,6
385,2
386,3
387,1
388,1
389,2
390,2
391,4
392,1
393,3
394,2
395,4
396,3
397,3
398,1
399,1
400,2
401,2
402,1
403,
404,
405,1
406,
407,2
408,1
409,1
410,1
411,3
412,2
413,4
414,
415,
416,2
417,2
418,1
419,2
420,
421,3
422,2
423,3
424,4
425,2
426,1
427,1
428,1
429,2
430,3
431,8
432,1
433,2
434,2
435,1
436,
437,2
438,3
439,
440,2
441,
442,2
443,6
444,3
445,
446,1
447,2
448,2
449,1
450,2
451,1
452,1
453,1
454,3
455,6
456,3
457,3
458,1
459,2
460,3
461,1
462,3
463,3
464,3
465,2
466,
467,1
468,3
469,1
470,3
471,3
472,1
473,2
474,
475,
476,7
477,6
478,2
479,1
480,2
481,
482,2
483,
484,
485,
486,3
487,2
488,3
489,3
490,2
491,3
492,4
493,2
494,2
495,4
496,2
497,3
498,3
499,2
500,2
501,1
502,2
503,2
504,
505,2
506,2
508,2
509,3
510,2
511,2
512,3
513,3
514,2
515,2
516,2
517,1
518,
519,1
520,2
521,2
522,7
523,
524,3
525,
526,4
527,3
528,2
529,2
530,
531,2
532,1
533,1
534,2
535,
536,2
537,3
538,4
539,2
540,6
541,4
542,2
543,2
544,
545,1
546,2
547,6
549,2
550,2
551,
552,3
554,2
555,3
556,2
557,
558,6
559,4
560,2
561,2
562,3
563,3
564,3
565,2
566,
567,7
568,2
569,3
570,3
571,2
572,1
573,1
574,1
575,2
576,2
577,
578,1
579,2
580,2
581,3
582,2
583,3
584,3
585,4
586,
587,2
588,2
589,1
590,
591,
592,1
593,
594,3
595,1
596,4
597,3
598,2
599,1
600,2
601,2
602,2
603,1
604,8
605,
606,1
607,3
608,3
609,1
610,
611,3
612,2
613,6
614,2
615,3
616,2
617,2
618,1
619,2
620,2
621,
622,3
623,6
624,2
625,1
626,2
627,
628,2
629,
630,2
631,1
632,7
633,3
634,1
635,4
636,2
637,8
638,2
639,1
640,3
641,2
644,2
645,2
646,6
647,3
648,2
649,7
650,1
651,2
652,4
653,2
654,2
655,2
656,
657,1
658,1
659,2
660,1
661,2
662,1
663,3
664,
665,4
666,7
667,1
668,1
669,3
670,3
671,1
672,
673,1
674,2
675,2
676,2
677,2
678,1
679,3
680,3
681,4
682,3
683,4
684,
685,1
686,6
687,1
688,1
689,2
690,2
692,2
693,4
695,1
696,3
697,3
698,2
699,3
700,
701,2
702,4
703,3
704,1
705,2
706,2
707,2
708,
709,2
710,3
711,2
712,2
713,3
714,3
715,2
716,2
717,4
718,
719,1
720,2
721,
722,1
723,1
724,2
725,
726,2
727,3
728,1
729,1
730,2
731,
732,
733,1
734,1
735,4
736,6
737,2
738,
739,2
740,3
741,1
742,1
743,1
744,3
745,7
746,2
747,1
748,1
749,
750,4
751,2
752,2
753,1
754,2
755,1
756,1
757,2
758,
759,1
760,3
761,2
762,4
763,2
764,3
765,2
766,1
767,3
768,3
769,2
770,6
771,3
772,2
773,1
774,2
775,2
776,1
777,2
778,
779,
780,2
781,
782,3
783,6
784,3
785,1
786,
787,3
788,1
789,2
790,3
791,3
792,1
793,2
794,2
795,7
796,1
797,1
798,
799,3
800,6
801,2
802,3
803,
804,3
805,
806,2
807,1
808,1
809,3
810,
811,2
812,2
813,
814,1
815,1
816,
818,3
819,3
820,
821,1
822,4
823,3
824,1
825,2
826,3
827,2
828,3
829,1
830,2
831,2
832,3
833,1
834,3
835,2
836,1
837,3
838,2
839,6
840,1
841,2
842,3
843,
844,7
845,1
847,2
848,4
849,
850,3
851,2
852,3
853,2
854,2
856,3
857,1
859,2
860,
861,3
862,4
863,7
864,1
865,2
866,2
